sample,cram_path,fastq_prefix,sample_supplier_name,library_type,total_reads
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex51/30786_1#51.cram,Human_colon_16S8000511_S4_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,27721164
Human_colon_16S8000513,/seq/30315/30315_1#53.cram,Human_colon_16S8000513_S1_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,1350352
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex55/30786_1#55.cram,Human_colon_16S8000513_S1_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,167212996
Human_colon_16S8000513,/seq/30315/30315_1#56.cram,Human_colon_16S8000513_S2_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,1271872
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex53/30786_1#53.cram,Human_colon_16S8000513_S2_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,288193714
Human_colon_16S8000513,/seq/30315/30315_1#55.cram,Human_colon_16S8000513_S3_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,860808
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex54/30786_1#54.cram,Human_colon_16S8000513_S3_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,182150514
Human_colon_16S8000513,/seq/30315/30315_1#54.cram,Human_colon_16S8000513_S4_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,960824
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex56/30786_1#56.cram,Human_colon_16S8000513_S4_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,257970910
Human_colon_16S8000515,/seq/30315/30315_1#59.cram,Human_colon_16S8000515_S1_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,378886
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex58/30786_1#58.cram,Human_colon_16S8000515_S1_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,107472594
Human_colon_16S8000515,/seq/30315/30315_1#58.cram,Human_colon_16S8000515_S2_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,434632
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex60/30786_1#60.cram,Human_colon_16S8000515_S2_L002,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,92107088
Human_colon_16S8000515,/seq/30315/30315_1#60.cram,Human_colon_16S8000515_S3_L001,A32-ILE-2-SC-45N-1,Chromium single cell 5 prime,392848
