sample,cram_path,fastq_prefix
Human_colon_16S8000513,/seq/30315/30315_1#54.cram,Human_colon_16S8000513_S4_L001
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex56/30786_1#56.cram,Human_colon_16S8000513_S4_L002
Human_colon_16S8000515,/seq/30315/30315_1#59.cram,Human_colon_16S8000515_S1_L001
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex58/30786_1#58.cram,Human_colon_16S8000515_S1_L002
Human_colon_16S8000515,/seq/30315/30315_1#58.cram,Human_colon_16S8000515_S2_L001
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex60/30786_1#60.cram,Human_colon_16S8000515_S2_L002
Human_colon_16S8000515,/seq/30315/30315_1#60.cram,Human_colon_16S8000515_S3_L001
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex57/30786_1#57.cram,Human_colon_16S8000515_S3_L002
Human_colon_16S8000515,/seq/30315/30315_1#57.cram,Human_colon_16S8000515_S4_L001
Human_colon_16S8000515,/seq/illumina/runs/30/30786/lane1/plex59/30786_1#59.cram,Human_colon_16S8000515_S4_L002
Human_colon_16S8123908,/seq/31264/31264_1#45.cram,Human_colon_16S8123908_S1_L001
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex45/31512_3#45.cram,Human_colon_16S8123908_S1_L002
Human_colon_16S8123908,/seq/31264/31264_1#46.cram,Human_colon_16S8123908_S2_L001
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex47/31512_3#47.cram,Human_colon_16S8123908_S2_L002
Human_colon_16S8123908,/seq/31264/31264_1#48.cram,Human_colon_16S8123908_S3_L001
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex46/31512_3#46.cram,Human_colon_16S8123908_S3_L002
Human_colon_16S8123908,/seq/31264/31264_1#47.cram,Human_colon_16S8123908_S4_L001
Human_colon_16S8123908,/seq/illumina/runs/31/31512/lane3/plex48/31512_3#48.cram,Human_colon_16S8123908_S4_L002
Human_colon_16S8123909,/seq/31264/31264_1#52.cram,Human_colon_16S8123909_S1_L001
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex50/31512_3#50.cram,Human_colon_16S8123909_S1_L002
Human_colon_16S8123909,/seq/31264/31264_1#49.cram,Human_colon_16S8123909_S2_L001
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex49/31512_3#49.cram,Human_colon_16S8123909_S2_L002
Human_colon_16S8123909,/seq/31264/31264_1#51.cram,Human_colon_16S8123909_S3_L001
Human_colon_16S8123909,/seq/illumina/runs/31/31512/lane3/plex52/31512_3#52.cram,Human_colon_16S8123909_S3_L002
Human_colon_16S8123909,/seq/31264/31264_1#50.cram,Human_colon_16S8123909_S4_L001
