sample,cram_path,fastq_prefix,sample_supplier_name,library_type,num_reads_processed,total_reads,r1len,r2len,i1len,i2len
4861STDY7208417,/seq/24674/24674_4#29.cram,4861STDY7208417_S4_L005,A7_tCo_F1_CD45,Chromium single cell,23439842,23439842,26,98,8,—
4861STDY7208417,/seq/24674/24674_5#31.cram,4861STDY7208417_S4_L006,A7_tCo_F1_CD45,Chromium single cell,18254742,18254742,26,98,8,—
4861STDY7208417,/seq/24674/24674_6#30.cram,4861STDY7208417_S4_L007,A7_tCo_F1_CD45,Chromium single cell,20369510,20369510,26,98,8,—
4861STDY7208417,/seq/24674/24674_7#32.cram,4861STDY7208417_S4_L008,A7_tCo_F1_CD45,Chromium single cell,34689244,34689244,26,98,8,—
HCA_P_GON_CZI12139598,/seq/illumina/runs/43/43617/lane2/plex1/43617_2#1.cram,HCA_P_GON_CZI12139598_S1_L001,AUrv2-OVR0FT-EG2a_mG,Chromium single cell 3 prime v3,2918053958,2918053958,28,90,10,10
Human_colon_16S8000511,/seq/30315/30315_1#52.cram,Human_colon_16S8000511_S1_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,211532,211532,25,25,8,—
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex50/30786_1#50.cram,Human_colon_16S8000511_S1_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,80591686,80591686,101,101,8,8
Human_colon_16S8000511,/seq/30315/30315_1#50.cram,Human_colon_16S8000511_S2_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,340986,340986,25,25,8,—
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex49/30786_1#49.cram,Human_colon_16S8000511_S2_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,40310060,40310060,101,101,8,8
Human_colon_16S8000511,/seq/30315/30315_1#51.cram,Human_colon_16S8000511_S3_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,123036,123036,25,25,8,—
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex52/30786_1#52.cram,Human_colon_16S8000511_S3_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,46915804,46915804,101,101,8,8
Human_colon_16S8000511,/seq/30315/30315_1#49.cram,Human_colon_16S8000511_S4_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,195698,195698,25,25,8,—
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex51/30786_1#51.cram,Human_colon_16S8000511_S4_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,27721164,27721164,101,101,8,8
Human_colon_16S8000513,/seq/30315/30315_1#53.cram,Human_colon_16S8000513_S1_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,1350352,1350352,25,25,8,—
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex55/30786_1#55.cram,Human_colon_16S8000513_S1_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,167212996,167212996,101,101,8,8
Human_colon_16S8000513,/seq/30315/30315_1#56.cram,Human_colon_16S8000513_S2_L001,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,1271872,1271872,25,25,8,—
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex53/30786_1#53.cram,Human_colon_16S8000513_S2_L002,A32-ILE-1-SC-45N-1,Chromium single cell 5 prime,288193714,288193714,101,101,8,8
